rgvX,rgvY,Time
17.83788299560547,23.545114517211914,Fine,167.859
17.814939498901367,23.48779296875,Fine,167.959
17.718891143798828,23.46324920654297,Fine,168.066
17.664297103881836,23.46837615966797,Fine,168.166
17.727561950683594,23.370532989501953,Fine,168.271
17.66831398010254,23.464534759521484,Fine,168.375
17.708791732788086,23.530786514282227,Fine,168.479
17.660722732543945,23.530132293701172,Fine,168.577
17.700624465942383,23.553340911865234,Fine,168.682
17.851320266723633,23.23190689086914,Fine,168.786
17.709754943847656,23.491613388061523,Fine,168.889
17.815671920776367,23.595468521118164,Fine,168.988
17.81005096435547,23.680858612060547,Fine,169.091
18.039182662963867,23.205978393554688,Fine,169.191
18.01986312866211,23.363306045532227,Fine,169.295
17.889549255371094,23.674423217773438,Fine,169.398
18.24290657043457,23.240371704101562,Fine,169.503
18.20061492919922,23.888811111450195,Fine,170.38
18.32518196105957,23.229177474975586,Fine,170.519
18.190404891967773,23.71942138671875,Fine,170.628
18.357242584228516,23.184370040893555,Fine,170.73
18.193218231201172,23.715116500854492,Fine,170.864
18.378934860229492,23.364561080932617,Fine,170.972
18.204004287719727,23.78888511657715,Fine,171.081
17.93195343017578,24.169391632080078,Fine,171.194
18.354354858398438,23.762990951538086,Fine,171.344
18.547460556030273,23.29575538635254,Fine,171.452
18.349672317504883,23.765649795532227,Fine,171.554
18.113327026367188,24.118196487426758,Fine,171.666
18.28874969482422,23.882102966308594,Fine,171.779
18.273834228515625,23.869417190551758,Fine,171.889
18.08536720275879,24.125972747802734,Fine,172.016
18.18744659423828,23.762651443481445,Fine,172.135
17.986181259155273,24.203598022460938,Fine,172.261
18.21306800842285,23.72758674621582,Fine,172.366
17.887252807617188,24.201318740844727,Fine,172.47
18.12979507446289,23.823688507080078,Fine,172.593
17.859912872314453,24.21228790283203,Fine,172.712
18.203289031982422,23.757505416870117,Fine,172.825
17.92596435546875,24.282106399536133,Fine,172.945
18.190753936767578,23.76914405822754,Fine,173.064
18.39470672607422,23.338825225830078,Fine,173.173
18.158689498901367,24.027048110961914,Fine,173.288
18.33702278137207,23.545623779296875,Fine,173.397
18.301897048950195,23.628881454467773,Joint,175.32
18.029436111450195,24.008609771728516,Joint,175.418
18.27773094177246,23.54056739807129,Joint,175.547
18.104658126831055,23.944658279418945,Joint,175.663
18.371376037597656,23.47415542602539,Joint,175.771
18.108579635620117,23.845670700073242,Joint,175.893
18.32648277282715,23.463733673095703,Joint,176.015
18.126291275024414,23.935054779052734,Joint,176.12
18.4298038482666,23.423723220825195,Joint,176.22
18.249217987060547,23.801183700561523,Joint,176.33
18.51865577697754,23.301189422607422,Joint,176.447
18.34343910217285,23.74375343322754,Joint,176.556
18.08979034423828,24.126155853271484,Joint,176.664
18.401336669921875,23.609172821044922,Joint,176.767
18.177885055541992,23.990516662597656,Joint,176.886
18.478912353515625,23.50541877746582,Joint,176.992
18.3315486907959,23.809123992919922,Joint,177.106
18.438871383666992,23.652799606323242,Joint,177.206
18.320560455322266,23.767717361450195,Joint,177.313
18.22942352294922,23.844396591186523,Joint,177.419
18.344240188598633,23.808103561401367,Joint,177.525
18.32135581970215,23.86420440673828,Joint,177.628
18.363035202026367,23.869335174560547,Joint,177.735
18.292871475219727,23.856443405151367,Joint,177.846
18.322256088256836,23.882448196411133,Joint,177.947
18.329978942871094,23.888429641723633,Joint,178.05
18.32740020751953,23.866579055786133,Joint,178.154
18.389314651489258,23.935720443725586,Joint,178.287
18.32384490966797,23.880014419555664,Joint,178.392
18.430095672607422,23.942873001098633,Joint,178.487
18.42660140991211,23.917448043823242,Joint,178.602
18.397886276245117,23.916833877563477,Joint,178.717
18.369464874267578,23.90102195739746,Joint,178.825
18.3133602142334,23.868057250976562,Joint,178.934
18.415931701660156,23.919883728027344,Joint,179.04
18.349519729614258,23.874866485595703,Joint,179.141
18.374711990356445,23.943464279174805,Joint,179.241
18.28089714050293,23.877920150756836,Joint,179.35
18.15829849243164,23.869674682617188,Joint,179.457
18.05685806274414,23.81517219543457,Joint,179.56
17.929235458374023,23.749727249145508,Joint,179.66
17.74601173400879,23.702436447143555,Joint,179.768
17.650653839111328,23.66773223876953,Joint,179.876
17.43829345703125,23.614309310913086,Joint,179.987
17.33135414123535,23.56999969482422,Joint,180.075
17.230045318603516,23.532487869262695,Joint,180.181
17.091825485229492,23.521467208862305,Joint,180.286
17.00651741027832,23.44989776611328,Joint,180.39
16.924846649169922,23.372793197631836,Joint,180.493
16.849205017089844,23.33584213256836,Joint,180.599
16.75753402709961,23.209720611572266,Joint,180.708
16.712448120117188,23.217710494995117,Joint,180.813
16.661245346069336,23.21774673461914,Joint,180.919
16.81235122680664,23.273025512695312,Joint,181.029
16.742542266845703,23.271875381469727,Joint,181.137
16.76617431640625,23.25737190246582,Joint,181.245
16.73848533630371,23.26180076599121,Joint,181.351
16.789813995361328,23.251516342163086,Joint,181.452
16.841861724853516,23.277528762817383,Joint,181.569
16.902677536010742,23.304821014404297,Joint,181.679
17.012548446655273,23.32648468017578,Joint,181.78
16.98178482055664,23.340618133544922,Joint,181.887
17.00462532043457,23.386274337768555,Joint,181.988
16.97357177734375,23.397354125976562,Joint,182.088
17.071624755859375,23.449487686157227,Joint,182.192
17.17237663269043,23.491079330444336,Joint,182.294
17.204833984375,23.513776779174805,Joint,182.396
17.40817642211914,23.60747528076172,Joint,182.497
17.387615203857422,23.603994369506836,Joint,182.603
17.412334442138672,23.56220054626465,Joint,182.712
17.538251876831055,23.593280792236328,Joint,182.817
17.6657772064209,23.634023666381836,Joint,182.924
17.903030395507812,23.692346572875977,Joint,183.03
17.922447204589844,23.693256378173828,Joint,183.136
17.78105354309082,23.58774185180664,Joint,183.237
17.958147048950195,23.643644332885742,Joint,183.343
18.289024353027344,23.78645133972168,Joint,183.453
